8.88516e+07,0,4.62608e+07,0,2.22342e+07,0,4.27045e+07,0,-307.948,0,324.813,-97.0729,0
0,8.88516e+07,0,4.62608e+07,0,2.22342e+07,0,4.27045e+07,0,324.813,-307.948,0,-113.937
4.62608e+07,0,9.6251e+07,0,4.62608e+07,0,2.22342e+07,0,-324.813,0,-324.813,113.937,0
0,4.62608e+07,0,9.6251e+07,0,4.62608e+07,0,2.22342e+07,0,-324.813,-324.813,0,113.937
2.22342e+07,0,4.62608e+07,0,8.88516e+07,0,4.27045e+07,0,324.813,0,-307.948,-113.937,0
0,2.22342e+07,0,4.62608e+07,0,8.88516e+07,0,4.27045e+07,0,-307.948,324.813,0,-97.0729
4.27045e+07,0,2.22342e+07,0,4.27045e+07,0,8.20211e+07,0,307.948,0,307.948,97.0729,0
0,4.27045e+07,0,2.22342e+07,0,4.27045e+07,0,8.20211e+07,0,307.948,307.948,0,97.0729
-307.948,-0,-324.813,-0,324.813,-0,307.948,-0,-0.00175169,0.000750725,-0,4.66869e-05,-2.00087e-05
-0,324.813,-0,-324.813,-0,-307.948,-0,307.948,0.000750725,-0.00175169,-0,-2.00087e-05,4.66869e-05
324.813,-307.948,-324.813,-324.813,-307.948,324.813,307.948,307.948,-0,-0,-0.00500483,-0,-0
-97.0729,-0,113.937,-0,-113.937,-0,97.0729,-0,4.66869e-05,-2.00087e-05,-0,-0.000584146,5.3328e-07
-0,-113.937,-0,113.937,-0,-97.0729,-0,97.0729,-2.00087e-05,4.66869e-05,-0,5.3328e-07,-0.000584146
