2768.04,0,1404.15,0,692.153,0,1364.46,0,0,0,0,0,0
0,2768.04,0,1404.15,0,692.153,0,1364.46,0,0,0,0,0
1404.15,0,2848.55,0,1404.15,0,692.153,0,0,0,0,0,0
0,1404.15,0,2848.55,0,1404.15,0,692.153,0,0,0,0,0
692.153,0,1404.15,0,2768.04,0,1364.46,0,0,0,0,0,0
0,692.153,0,1404.15,0,2768.04,0,1364.46,0,0,0,0,0
1364.46,0,692.153,0,1364.46,0,2689.81,0,0,0,0,0,0
0,1364.46,0,692.153,0,1364.46,0,2689.81,0,0,0,0,0
0,0,0,0,0,0,0,0,-5.4507e-08,2.33602e-08,0,5.20862e-10,-2.23226e-10
0,0,0,0,0,0,0,0,2.33602e-08,-5.4507e-08,0,-2.23226e-10,5.20862e-10
0,0,0,0,0,0,0,0,0,0,-1.55734e-07,0,0
0,0,0,0,0,0,0,0,5.20862e-10,-2.23226e-10,0,-1.8169e-08,2.13312e-12
0,0,0,0,0,0,0,0,-2.23226e-10,5.20862e-10,0,2.13312e-12,-1.8169e-08
