1.3919e+06,0,721677,0,348220,0,671602,0,-2.42468,0,2.53008,-0.773372,0
0,1.3919e+06,0,721677,0,348220,0,671602,0,2.53008,-2.42468,0,-0.878776
721677,0,1.49564e+06,0,721677,0,348220,0,-2.53008,0,-2.53008,0.878776,0
0,721677,0,1.49564e+06,0,721677,0,348220,0,-2.53008,-2.53008,0,0.878776
348220,0,721677,0,1.3919e+06,0,671602,0,2.53008,0,-2.42468,-0.878776,0
0,348220,0,721677,0,1.3919e+06,0,671602,0,-2.42468,2.53008,0,-0.773372
671602,0,348220,0,671602,0,1.29528e+06,0,2.42468,0,2.42468,0.773372,0
0,671602,0,348220,0,671602,0,1.29528e+06,0,2.42468,2.42468,0,0.773372
-2.42468,-0,-2.53008,-0,2.53008,-0,2.42468,-0,-2.74328e-05,1.17569e-05,-0,6.57369e-07,-2.81729e-07
-0,2.53008,-0,-2.53008,-0,-2.42468,-0,2.42468,1.17569e-05,-2.74328e-05,-0,-2.81729e-07,6.57369e-07
2.53008,-2.42468,-2.53008,-2.53008,-2.42468,2.53008,2.42468,2.42468,-0,-0,-7.83795e-05,-0,-0
-0.773372,-0,0.878776,-0,-0.878776,-0,0.773372,-0,6.57369e-07,-2.81729e-07,-0,-9.14778e-06,6.666e-09
-0,-0.878776,-0,0.878776,-0,-0.773372,-0,0.773372,-2.81729e-07,6.57369e-07,-0,6.666e-09,-9.14778e-06
