,x,y,z,Domain,tag
133,3.0,0.5,0.0,pml,134
134,4.0,-0.5,-5.0,pml,135
135,4.0,-0.5,-4.0,pml,136
136,4.0,-0.5,-3.0,pml,137
137,4.0,-0.5,-2.0,pml,138
138,4.0,-0.5,-1.0,pml,139
139,4.0,-0.5,0.0,pml,140
140,4.0,0.5,-5.0,pml,141
141,4.0,0.5,-4.0,pml,142
142,4.0,0.5,-3.0,pml,143
143,4.0,0.5,-2.0,pml,144
144,4.0,0.5,-1.0,pml,145
145,4.0,0.5,0.0,pml,146
146,5.0,-0.5,-5.0,pml,147
147,5.0,-0.5,-4.0,pml,148
148,5.0,-0.5,-3.0,pml,149
149,5.0,-0.5,-2.0,pml,150
150,5.0,-0.5,-1.0,pml,151
151,5.0,-0.5,0.0,pml,152
152,5.0,0.5,-5.0,pml,153
153,5.0,0.5,-4.0,pml,154
154,5.0,0.5,-3.0,pml,155
155,5.0,0.5,-2.0,pml,156
156,5.0,0.5,-1.0,pml,157
157,5.0,0.5,0.0,pml,158
